id;ordinal_number;question;answer;nutritional_interview_id
1;9311;../data/blob/hipster.txt;../data/blob/hipster.txt;10
2;89721;../data/blob/hipster.txt;../data/blob/hipster.txt;6
3;90041;../data/blob/hipster.txt;../data/blob/hipster.txt;9
4;63310;../data/blob/hipster.txt;../data/blob/hipster.txt;2
5;33903;../data/blob/hipster.txt;../data/blob/hipster.txt;3
6;34921;../data/blob/hipster.txt;../data/blob/hipster.txt;8
7;72595;../data/blob/hipster.txt;../data/blob/hipster.txt;9
8;89711;../data/blob/hipster.txt;../data/blob/hipster.txt;9
9;88708;../data/blob/hipster.txt;../data/blob/hipster.txt;5
10;77987;../data/blob/hipster.txt;../data/blob/hipster.txt;9
