"category_id";"description_english";"description_polish"
"0100";"Dairy and Egg Products";"Nabiał i produkty jajeczne"
"0200";"Spices and Herbs";"Przyprawy i zioła"
"0300";"Baby Foods";"Żywność dla dzieci"
"0400";"Fats and Oils";"Tłuszcze i oleje"
"0500";"Poultry Products";"Produkty drobiowe"
"0600";"Soups, Sauces, and Gravies";"Zupy i sosy"
"0700";"Sausages and Luncheon Meats";"Kiełbasy i obiadowe Mięsa"
"0800";"Breakfast Cereals";"Płatki śniadaniowe"
"0900";"Fruits and Fruit Juices";"Owoce i soki owocowe"
"1000";"Pork Products";"Produkty wieprzowe"
"1100";"Vegetables and Vegetable Products";"Warzywa i produkty roślinne"
"1200";"Nut and Seed Products";"Orzechy i nasiona"
"1300";"Beef Products";"Produkty wołowe"
"1400";"Beverages";"Napoje"
"1500";"Finfish and Shellfish Products";"Ryby i skorupiaki"
"1600";"Legumes and Legume Products";"Rośliny strączkowe"
"1700";"Lamb, Veal, and Game Products";"Jagnięcina, cielęcina, dziczyzna"
"1800";"Baked Products";"Pieczywo i wypieki"
"1900";"Sweets";"Słodycze"
"2000";"Cereal Grains and Pasta";"Produkty zbożowe i makaron"
"2100";"Fast Foods";"Fast Foods"
"2200";"Meals, Entrees, and Side Dishes";"Posiłki i przystawki"
"2500";"Snacks";"Przekąski"
