id;translation;language;kitchen_appliance_id
1;tarka;pl;1
2;mikrofalówka;pl;2
3;piekarnik;pl;3
4;kuchenka;pl;4
5;patelnia;pl;5
6;garnek;pl;6
7;rondel;pl;7
8;otwieracz do puszek;pl;8
9;toaster;pl;9
10;korkociąg;pl;10
11;blaszka do ciasta;pl;11
12;naczynie żaroodporne;pl;12
13;wałek do ciasta;pl;13
14;sitko;pl;14
15;rękaw do pieczenia;pl;15
16;foremka do wykrawania ciastek;pl;16
17;durszlak;pl;17
18;przesiewacz do mąki;pl;18
19;lejek;pl;19
20;praska do czosnku;pl;20
21;tłuczek do mięsa;pl;21
22;moździerz;pl;22
23;dziadek do orzechów;pl;23
24;obieraczka;pl;24
25;blender;pl;25
26;wok;pl;26
27;miska;pl;27
28;otwieracz do butelek;pl;28
